Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
RELIANCE,EQ,16-Dec-15,975.9,975.9,987.55,973.5,979,978.65,981.35,2765248,2713678998,87348
RELIANCE,EQ,17-Dec-15,978.65,980.05,1015,978,1013.05,1009.7,996.08,4427435,4410078031,115033
RELIANCE,EQ,18-Dec-15,1009.7,1003.8,1009,990,990.6,991.9,995.59,3661020,3644888836,91366
RELIANCE,EQ,21-Dec-15,991.9,987.9,999,984.35,990.5,992.1,991.29,2818835,2794289629,67705
RELIANCE,EQ,22-Dec-15,992.1,992.8,1002.6,984,985.9,987.3,992.85,2646828,2627900435,85459
RELIANCE,EQ,23-Dec-15,987.3,991.8,1006.9,990,1004.7,1003.8,1003.71,2953173,2964130175,105611
RELIANCE,EQ,24-Dec-15,1003.8,1003.9,1007.2,996.3,1002.4,1000.55,1000.54,2720569,2722049041,71797
RELIANCE,EQ,28-Dec-15,1000.55,1000.6,1013.75,1000,1010.1,1010.4,1009.24,2945508,2972724427,52257
RELIANCE,EQ,29-Dec-15,1010.4,1010.4,1018.7,1007.15,1014,1015.4,1014.21,3409060,3457505612,113811
RELIANCE,EQ,30-Dec-15,1015.4,1015,1016,1002,1003.45,1004.5,1007.91,1863321,1878062566,63926
RELIANCE,EQ,31-Dec-15,1004.5,1003.4,1019.7,999.1,1010.4,1014.6,1011.8,4225066,4274933700,58372
RELIANCE,EQ,01-Jan-16,1014.6,1009.8,1018.9,1008.2,1013.6,1015.35,1015.52,1238135,1257352825,30701
RELIANCE,EQ,04-Jan-16,1015.35,1005,1013.8,986.7,993.2,995.3,998.91,6896571,6889070475,66235
RELIANCE,EQ,05-Jan-16,995.3,1000.3,1010,997,1005,1005.15,1003.41,3416459,3428125271,59935
RELIANCE,EQ,06-Jan-16,1005.15,1007.6,1038.4,1000.4,1029.1,1032.2,1028.15,6116855,6289073421,160947
RELIANCE,EQ,07-Jan-16,1032.2,1021.05,1028,1008.05,1018.9,1013.25,1016.73,4512219,4587700425,105075
RELIANCE,EQ,08-Jan-16,1013.25,1020,1032.9,1016.7,1027.4,1025.75,1026.11,4871839,4999056504,176664
RELIANCE,EQ,11-Jan-16,1025.75,1015.95,1060.8,1011,1054,1051.6,1047.9,6632671,6950389025,135818
RELIANCE,EQ,12-Jan-16,1051.6,1055,1065.4,1041.1,1044.4,1045.45,1053.1,5342761,5626465576,143685
RELIANCE,EQ,13-Jan-16,1045.45,1053.1,1089.75,1047.2,1073.2,1076.85,1060.93,16412811,17412825596,176074
RELIANCE,EQ,14-Jan-16,1076.85,1063.85,1081,1053.05,1060.45,1061.65,1067.41,6359913,6788622870,137443
RELIANCE,EQ,15-Jan-16,1061.65,1069.75,1089.5,1065.6,1072.6,1073.3,1080.4,6575725,7104390948,136461
RELIANCE,EQ,18-Jan-16,1073.3,1075,1083.95,1008.1,1020.4,1016.85,1049.91,6229959,6540923210,196022
RELIANCE,EQ,19-Jan-16,1016.85,1029,1049.8,1014.1,1046.95,1043.6,1036.51,4912096,5091435246,136592
RELIANCE,EQ,20-Jan-16,1043.6,1034.9,1034.9,990,1009.15,1004.55,1008.92,10312353,10404327994,219237
RELIANCE,EQ,21-Jan-16,1004.55,1017.55,1025.75,976.7,982.45,984.2,994.85,7261772,7224376995,184992
RELIANCE,EQ,22-Jan-16,984.2,994.05,1011,994.05,1004.05,1004.15,1003.25,5413455,5431058011,125503
RELIANCE,EQ,25-Jan-16,1004.15,1010,1018.75,1000,1000.2,1003.95,1010.67,2994340,3026275942,88530
RELIANCE,EQ,27-Jan-16,1003.95,1008.1,1010,996.95,997,999.35,1004.13,3943295,3959581189,90937
RELIANCE,EQ,28-Jan-16,999.35,1001,1021.8,997.1,1015.5,1016.9,1012.35,5274473,5339625414,87223
RELIANCE,EQ,29-Jan-16,1016.9,1018.95,1040,1018,1036,1035.4,1032.75,4383577,4527146899,85556
RELIANCE,EQ,01-Feb-16,1035.4,1039.95,1041.8,1025.55,1028.2,1030.3,1032.86,2267273,2341781935,66817
RELIANCE,EQ,02-Feb-16,1030.3,1030.3,1032.8,990.5,995.5,1001.15,1013.98,3376466,3423672334,107860
RELIANCE,EQ,03-Feb-16,1001.15,988,994,975,980,981.4,984.1,3586808,3529766340,84824
RELIANCE,EQ,04-Feb-16,981.4,988,1001,965.7,977.65,973.05,983.08,4161079,4090669618,117696
RELIANCE,EQ,05-Feb-16,973.05,979.1,982,961.4,974.9,970.9,970.48,4799882,4658176118,166929
RELIANCE,EQ,08-Feb-16,970.9,971.1,984.8,957.95,959.65,961.05,974.75,2760853,2691151281,69133
RELIANCE,EQ,09-Feb-16,961.05,952.9,968.8,950,956.75,957.5,961,4481029,4306263438,91823
RELIANCE,EQ,10-Feb-16,957.5,951.7,973,948.65,965.4,962.65,962.41,3859250,3714199986,74240
RELIANCE,EQ,11-Feb-16,962.65,962.85,965.95,915.5,924,924.55,940.35,3912163,3678803898,115177
RELIANCE,EQ,12-Feb-16,924.55,933.9,933.9,888.1,904.85,906.55,908.01,6701935,6085411197,177405
RELIANCE,EQ,15-Feb-16,906.55,918,951.35,918,944.4,946.75,939.84,4407889,4142717540,129662
RELIANCE,EQ,16-Feb-16,946.75,951.1,958,927,929.25,930.55,944.11,2977263,2810849105,79628
RELIANCE,EQ,17-Feb-16,930.55,935.1,957.45,916.4,956.1,952.6,938.34,3529832,3312170035,104491
RELIANCE,EQ,18-Feb-16,952.6,962.95,968.7,936,937.15,940.1,949.33,3299161,3131982377,69320
RELIANCE,EQ,19-Feb-16,940.1,940,952.75,937.35,943.5,944.35,944.49,2339664,2209778479,86096
RELIANCE,EQ,22-Feb-16,944.35,944.1,968.3,944.1,963,962.3,960.94,2919198,2805180452,65484
RELIANCE,EQ,23-Feb-16,962.3,963.1,967.2,942.75,943.9,949.65,958.52,4340746,4160698808,81610
RELIANCE,EQ,24-Feb-16,949.65,944.9,958.55,942,955,952.65,952.71,3471311,3307166889,109885
RELIANCE,EQ,25-Feb-16,952.65,954.2,956.55,940.85,942,944.1,946.5,5675025,5371391774,80392
RELIANCE,EQ,26-Feb-16,944.1,953,958.75,944.3,953,950.35,951.69,1908533,1816331636,58546
RELIANCE,EQ,29-Feb-16,950.35,951.3,994.6,935,965,966.65,960.96,7093474,6816551287,134218
RELIANCE,EQ,01-Mar-16,966.65,964.7,985.05,964.65,984.25,981.3,979.72,3760923,3684645581,97955
RELIANCE,EQ,02-Mar-16,981.3,992.9,1005.75,987.25,1000,1001.5,998.81,4595886,4590432124,74124
RELIANCE,EQ,03-Mar-16,1001.5,1010,1018,997.5,1010,1012.85,1009.28,3630006,3663682139,78861
RELIANCE,EQ,04-Mar-16,1012.85,1014,1015,1003.5,1007.5,1006.4,1007.65,2054428,2070143079,51720
RELIANCE,EQ,08-Mar-16,1006.4,1007.5,1030.9,1007.5,1023,1027,1021.65,3022554,3087984351,86702
RELIANCE,EQ,09-Mar-16,1027,1020,1043.9,1018.6,1041.9,1041.7,1033.7,2709831,2801141034,79794
RELIANCE,EQ,10-Mar-16,1041.7,1042.05,1045.9,1009,1009.15,1011.75,1018.42,4733124,4820313423,144977
RELIANCE,EQ,11-Mar-16,1011.75,1014.9,1029.55,1010.6,1015.4,1014.5,1019.42,3501676,3569686913,88004
RELIANCE,EQ,14-Mar-16,1014.5,1019.1,1026.4,1012.95,1019.75,1019.75,1018.41,2715590,2765572642,82702
RELIANCE,EQ,15-Mar-16,1019.75,1024,1027.85,1015.1,1019.55,1020.5,1021.64,2397332,2449201924,56909
RELIANCE,EQ,16-Mar-16,1020.5,1021,1025.8,1005.45,1024.4,1021.75,1015.77,2529074,2568957743,50367
RELIANCE,EQ,17-Mar-16,1021.75,1027,1036.9,1012,1014.5,1016,1026.51,3847740,3949732218,90226
RELIANCE,EQ,18-Mar-16,1016,1018.25,1030.15,1015.7,1028.3,1027.2,1024,3207246,3284213965,69238
RELIANCE,EQ,21-Mar-16,1027.2,1027.95,1041.5,1022.75,1040,1037.3,1030.59,2904852,2993700834,79043
RELIANCE,EQ,22-Mar-16,1037.3,1037,1052.25,1035.65,1049.35,1047.85,1044.68,3504967,3661562667,93579
RELIANCE,EQ,23-Mar-16,1047.85,1046.9,1046.9,1022.4,1027.25,1029.2,1031.48,3841654,3962605795,90954
RELIANCE,EQ,28-Mar-16,1029.2,1030,1031.7,1015.65,1022.5,1020.4,1022.77,4130553,4224624949,84002
RELIANCE,EQ,29-Mar-16,1020.4,1023.8,1042,1020.2,1034,1036.25,1034.32,3627901,3752397078,57044
RELIANCE,EQ,30-Mar-16,1036.25,1042.7,1051.75,1042.7,1047.4,1047.05,1047.52,3303780,3460764578,94538
RELIANCE,EQ,31-Mar-16,1047.05,1041,1056,1032.7,1045,1045.2,1045.52,7047985,7368811911,128999
RELIANCE,EQ,01-Apr-16,1045.2,1039.1,1046.3,1025,1035,1034.45,1033.05,2830115,2923641416,61004
RELIANCE,EQ,04-Apr-16,1034.45,1040,1042.2,1025.3,1035.75,1035.05,1032.19,1973260,2036784077,77242
RELIANCE,EQ,05-Apr-16,1035.05,1031.35,1042.4,1022.2,1027.3,1026.95,1031.04,2345148,2417937240,61672
RELIANCE,EQ,06-Apr-16,1026.95,1032.1,1036.7,1022.6,1034.4,1033.75,1029.94,1597975,1645826296,55920
RELIANCE,EQ,07-Apr-16,1033.75,1034.9,1048,1022.1,1034.8,1037.25,1037.23,2009055,2083849370,61885
RELIANCE,EQ,08-Apr-16,1037.25,1035.9,1054.45,1031.2,1035,1036.35,1041.82,3065701,3193915291,64946
RELIANCE,EQ,11-Apr-16,1036.35,1037,1045.5,1033,1039.2,1040.3,1040.4,2356318,2451516879,51362
RELIANCE,EQ,12-Apr-16,1040.3,1040.3,1057.45,1038.05,1047.6,1047.4,1048.86,2552099,2676798111,51698
RELIANCE,EQ,13-Apr-16,1047.4,1052.55,1069.9,1052.55,1064.6,1066.05,1060.03,3666141,3886222311,96144
RELIANCE,EQ,18-Apr-16,1066.05,1065.8,1066.8,1055.4,1063.05,1064.75,1061.15,4358102,4624603232,72390
RELIANCE,EQ,20-Apr-16,1064.75,1069.2,1069.2,1035.8,1037.15,1037.3,1044.82,4957497,5179668393,159487
RELIANCE,EQ,21-Apr-16,1037.3,1041.4,1052,1035,1039.5,1041.15,1042.52,2601436,2712047919,65460
RELIANCE,EQ,22-Apr-16,1041.15,1039,1047.5,1029.3,1040.5,1038.95,1039.15,2675586,2780346365,83568
RELIANCE,EQ,25-Apr-16,1038.95,1044.45,1044.45,1012.3,1014.55,1016.9,1019.84,13979586,14256999658,154748
RELIANCE,EQ,26-Apr-16,1016.9,1015.4,1023.9,1007.5,1014.3,1016.95,1013.25,6041279,6121324712,91302
RELIANCE,EQ,27-Apr-16,1016.95,1017.9,1025.95,1016,1018.45,1019.4,1021.78,3315060,3387251624,134641
RELIANCE,EQ,28-Apr-16,1019.4,1014,1019.2,990.95,993.5,996.7,1005.46,14160507,14237803966,145782
RELIANCE,EQ,29-Apr-16,996.7,993.45,998.55,978.85,980.9,982.7,987.1,5367060,5297844666,146902
RELIANCE,EQ,02-May-16,982.7,979,992.4,978,987,986.95,986.75,2427753,2395582308,71546
RELIANCE,EQ,03-May-16,986.95,988,994.95,972.75,975,975.8,982.83,4016624,3947642760,128285
RELIANCE,EQ,04-May-16,975.8,974.05,983.7,973,976,978.1,979.17,3096453,3031966775,70953
RELIANCE,EQ,05-May-16,978.1,980,983.45,970.9,974.9,975.25,976.77,4952411,4837354465,107343
RELIANCE,EQ,06-May-16,975.25,973,976.8,967,969.15,968.95,971.08,3371220,3273738349,72457
RELIANCE,EQ,09-May-16,968.95,975,986,972.8,983.3,983.1,981.2,3508088,3442124767,79373
RELIANCE,EQ,10-May-16,983.1,983.1,984.7,978,982.3,982.55,981.5,1656840,1626181209,44767
RELIANCE,EQ,11-May-16,982.55,971.8,980.75,970,974.1,975.4,976.47,2820699,2754314214,50564
RELIANCE,EQ,12-May-16,975.4,976,994.2,975.05,993,992.8,986.82,2922714,2884182558,68535
RELIANCE,EQ,13-May-16,992.8,988.95,990.55,975,975.95,978.15,981.35,3348353,3285903493,82572
RELIANCE,EQ,16-May-16,978.15,977,982.5,971.1,974.5,975.95,976.4,2132072,2081760479,46086
RELIANCE,EQ,17-May-16,975.95,980.25,983.1,966.35,967.45,969.15,973.96,2779023,2706668840,85318
RELIANCE,EQ,18-May-16,969.15,965.9,972.5,964.1,970.05,970.55,969.99,1880974,1824529637,44676
RELIANCE,EQ,19-May-16,970.55,971.7,971.9,945.6,947.35,951.2,960.71,2088058,2006009103,45052
RELIANCE,EQ,20-May-16,951.2,952,954.5,931.35,933.4,934.2,943.02,4238988,3997447797,126939
RELIANCE,EQ,23-May-16,934.2,937.35,940.7,925.65,931.1,930,932.46,4198098,3914538268,119010
RELIANCE,EQ,24-May-16,930,928.05,944,928.05,941,940.45,939.86,2807737,2638876532,85430
RELIANCE,EQ,25-May-16,940.45,949.85,952.8,941.15,949.65,951.2,948.1,2112135,2002517642,52041
RELIANCE,EQ,26-May-16,951.2,950,952.4,944.1,947.3,946.85,947.62,3243601,3073707523,81624
RELIANCE,EQ,27-May-16,946.85,949.05,976.9,948.75,973.1,974.7,966.82,3063379,2961741219,67215
RELIANCE,EQ,30-May-16,974.7,976.4,981.5,965,965.8,968.7,972.17,2202091,2140805461,62587
RELIANCE,EQ,31-May-16,968.7,969,973,956.5,959,957.85,959.97,5333469,5119973489,104315
RELIANCE,EQ,01-Jun-16,957.85,957.95,966.1,951.8,952.7,953.6,959.2,2067034,1982696122,53205
RELIANCE,EQ,02-Jun-16,953.6,954.5,957.15,945.1,955.35,956.25,950.47,2343852,2227760801,84845
RELIANCE,EQ,03-Jun-16,956.25,960,962.9,955.85,958.75,959.65,959.64,1975712,1895977557,61330
RELIANCE,EQ,06-Jun-16,959.65,961,963,952.55,954.45,954.8,956.96,1982466,1897147293,64201
RELIANCE,EQ,07-Jun-16,954.8,957.25,960.95,951.6,953.45,955.05,956.15,4332627,4142620601,95245
RELIANCE,EQ,08-Jun-16,955.05,958,958,949.15,955.95,954.1,953.25,2773975,2644278170,70012
RELIANCE,EQ,09-Jun-16,954.1,960,976.45,956.2,970,971.15,971.14,3575840,3472641638,116207
RELIANCE,EQ,10-Jun-16,971.15,974,984.4,968.3,975.7,976.7,976.64,3729737,3642612996,74227
RELIANCE,EQ,13-Jun-16,976.7,969.9,983.45,963.05,980,981.1,973.74,2334856,2273535313,57776
RELIANCE,EQ,14-Jun-16,981.1,980.95,985.4,969.3,976.3,976.25,977.5,2497008,2440817299,55244
RELIANCE,EQ,15-Jun-16,976.25,980,986.5,973.75,981.85,984.6,980.12,2543921,2493348429,97049
RELIANCE,EQ,16-Jun-16,984.6,981,983.65,967.05,975.25,976.3,975.47,2142329,2089779295,71071
RELIANCE,EQ,17-Jun-16,976.3,977,978.65,970.1,973,974.9,974.27,2408096,2346137251,97303
RELIANCE,EQ,20-Jun-16,974.9,972.15,992.6,968,987.5,990.2,983.33,2459237,2418252128,108255
RELIANCE,EQ,21-Jun-16,990.2,994.1,994.15,979.7,983.05,987.1,985.9,3184865,3139971425,116389
RELIANCE,EQ,22-Jun-16,987.1,985,985.9,977.1,978,980.5,980.71,2923284,2866888654,82337
RELIANCE,EQ,23-Jun-16,980.5,979.95,982,970,981,980.45,975.5,2248693,2193589013,106606
RELIANCE,EQ,24-Jun-16,980.45,964.9,964.9,933.4,948.55,951.45,947.15,5711173,5409346859,163656
RELIANCE,EQ,27-Jun-16,951.45,940.5,958.4,940.5,953.9,955.65,953.76,2094599,1997741765,55952
RELIANCE,EQ,28-Jun-16,955.65,956.4,961.55,955,958,957.8,958.6,1738370,1666404999,54522
RELIANCE,EQ,29-Jun-16,957.8,962,968.95,960,967,966.9,964.82,1719857,1659360681,44475
RELIANCE,EQ,30-Jun-16,966.9,972,977.5,967.05,969,969.15,971.01,2916329,2831792987,111061
RELIANCE,EQ,01-Jul-16,969.15,972.75,976.8,970,974.75,973.45,973.03,1510979,1470225446,49870
RELIANCE,EQ,04-Jul-16,973.45,975.5,993.6,975.5,986.35,986.7,987.44,1783750,1761346964,46307
RELIANCE,EQ,05-Jul-16,986.7,986.1,1002.9,980.3,991.2,993.1,994.43,2596678,2582210954,52194
RELIANCE,EQ,07-Jul-16,993.1,992.5,1000.5,986.15,988.1,987.9,992.38,2749648,2728683065,101086
RELIANCE,EQ,08-Jul-16,987.9,987,989,976.35,977.6,978.4,982.34,1632225,1603394588,47260
RELIANCE,EQ,11-Jul-16,978.4,991,994.95,985.5,991.55,992.5,991.25,1889606,1873068863,44114
RELIANCE,EQ,12-Jul-16,992.5,995.25,1005,991,1003.4,1003.4,998.38,2232685,2229070184,58174
RELIANCE,EQ,13-Jul-16,1003.4,1005.2,1016.7,1004.15,1008,1008.75,1010.89,3409386,3446506826,75726
RELIANCE,EQ,14-Jul-16,1008.75,1008.1,1014.1,998.25,1004.2,1004.9,1006.27,2459183,2474605487,94968
RELIANCE,EQ,15-Jul-16,1004.9,1009,1021,1003.5,1014.35,1012.2,1013.32,3198562,3241175869,75448
RELIANCE,EQ,18-Jul-16,1012.2,1028,1038.75,1001.75,1002.9,1006.25,1024.42,7339086,7518309445,170099
RELIANCE,EQ,19-Jul-16,1006.25,1006,1022.95,995.3,1022.5,1017.8,1010.24,3805750,3844707695,108195
RELIANCE,EQ,20-Jul-16,1017.8,1019.95,1028.3,1016.55,1022.75,1023,1022.31,2803645,2866191225,86184
RELIANCE,EQ,21-Jul-16,1023,1024,1025,1005,1006.2,1006.35,1011.19,1534044,1551205389,42542
RELIANCE,EQ,22-Jul-16,1006.35,1006,1017.8,1005.1,1015.9,1014.85,1013.37,1577114,1598204862,45519
RELIANCE,EQ,25-Jul-16,1014.85,1014,1023.75,1007.35,1020.5,1022.75,1016.5,1883884,1914975226,65866
RELIANCE,EQ,26-Jul-16,1022.75,1023,1034.8,1015.2,1022.25,1024.05,1028.33,2403872,2471965451,73738
RELIANCE,EQ,27-Jul-16,1024.05,1023.05,1026,1008.95,1011.2,1013.1,1017.1,2521448,2564577316,44577
RELIANCE,EQ,28-Jul-16,1013.1,1014.95,1030.5,1013.05,1024,1026.35,1022.77,3568375,3649633314,57410
RELIANCE,EQ,29-Jul-16,1026.35,1024,1024.9,1012,1016.05,1014.9,1016.04,2201164,2236478542,59232
RELIANCE,EQ,01-Aug-16,1014.9,1018,1020.3,1005.05,1009,1009.5,1012.34,1823694,1846202182,39583
RELIANCE,EQ,02-Aug-16,1009.5,1008,1020,1006.3,1013,1012.8,1014.69,1762408,1788291755,60093
RELIANCE,EQ,03-Aug-16,1012.8,1014.4,1014.4,991.5,992.9,993.95,998,2713804,2708366174,84839
RELIANCE,EQ,04-Aug-16,993.95,999,1000,983.4,995.2,993,990.33,2328716,2306189259,70610
RELIANCE,EQ,05-Aug-16,993,998,1019,997.05,1018,1016.25,1008.21,2767914,2790650163,63040
RELIANCE,EQ,08-Aug-16,1016.25,1019.9,1034,1018.65,1027.3,1029.25,1029.46,3098753,3190040712,85046
RELIANCE,EQ,09-Aug-16,1029.25,1027,1034.5,1021,1029.9,1030.7,1027.79,3038046,3122459911,80430
RELIANCE,EQ,10-Aug-16,1030.7,1031.25,1034.55,1002,1002.2,1003.65,1012.18,3079463,3116960499,75445
RELIANCE,EQ,11-Aug-16,1003.65,1001.95,1022.85,999.6,1014,1014.1,1013.46,3238899,3282503483,92154
RELIANCE,EQ,12-Aug-16,1014.1,1017,1042.9,1017,1032.55,1035.8,1032.8,3740861,3863571902,104993
RELIANCE,EQ,16-Aug-16,1035.8,1036.25,1044.8,1015.5,1023.65,1024.9,1028.02,3055603,3141211271,87377
RELIANCE,EQ,17-Aug-16,1024.9,1024.1,1028.8,1007.2,1014,1013.3,1015.54,3539970,3594983479,88744
RELIANCE,EQ,18-Aug-16,1013.3,1016,1023.65,1016,1018,1018.05,1019,1771449,1805112795,76822
RELIANCE,EQ,19-Aug-16,1018.05,1018,1022,1007.1,1013.3,1014.9,1015.51,1869308,1898300779,59860
RELIANCE,EQ,22-Aug-16,1014.9,1012,1019.7,1007.2,1010.05,1011.85,1012.82,1527904,1547496176,72620
RELIANCE,EQ,23-Aug-16,1011.85,1012,1015,1005,1011.2,1010.45,1010.12,1673328,1690268899,53304
RELIANCE,EQ,24-Aug-16,1010.45,1011.7,1021.95,1011,1021.25,1020.5,1017.13,1993153,2027291124,67902
RELIANCE,EQ,25-Aug-16,1020.5,1021.2,1029,1009,1013.95,1012.7,1017.92,3419775,3481068525,82485
RELIANCE,EQ,26-Aug-16,1012.7,1017.9,1030.8,1014.6,1026.6,1027.9,1024.82,2203465,2258151955,79842
RELIANCE,EQ,29-Aug-16,1027.9,1027.25,1059.75,1026.1,1059.3,1057.45,1046.1,3701495,3872133055,90569
RELIANCE,EQ,30-Aug-16,1057.45,1062,1068.5,1053,1064.75,1066.4,1062.92,4153522,4414855721,118180
RELIANCE,EQ,31-Aug-16,1066.4,1064.9,1074,1047,1047.9,1060,1063.92,5324960,5665324907,210357
RELIANCE,EQ,01-Sep-16,1060,1053,1072.75,1025.7,1028.05,1029.2,1050.52,9742454,10234626989,193607
RELIANCE,EQ,02-Sep-16,1029.2,1031.1,1032.55,1002.3,1013,1013.35,1013.84,6428814,6517819698,133004
RELIANCE,EQ,06-Sep-16,1013.35,1019.9,1025,1015,1021.7,1019.9,1019.3,2631091,2681861446,73178
RELIANCE,EQ,07-Sep-16,1019.9,1022,1027.05,1013.05,1017,1017.65,1019.15,2954995,3011590628,87614
RELIANCE,EQ,08-Sep-16,1017.65,1023.05,1035.95,1020.2,1034,1033.4,1030.87,2790196,2876333145,90566
RELIANCE,EQ,09-Sep-16,1033.4,1035,1049.9,1030,1041.5,1044.55,1042.48,3490441,3638707846,69385
RELIANCE,EQ,12-Sep-16,1044.55,1030.4,1056,1029.15,1046.95,1046.5,1046.99,7699800,8061595469,101157
RELIANCE,EQ,14-Sep-16,1046.5,1048,1059,1040.9,1043,1044.75,1049.2,4252754,4461991599,95815
RELIANCE,EQ,15-Sep-16,1044.75,1047,1070.2,1047,1064.8,1065,1055.37,7170885,7567970041,64639
RELIANCE,EQ,16-Sep-16,1065,1067,1093.85,1059.1,1072.9,1075.55,1080.3,8988926,9710711353,151282
RELIANCE,EQ,19-Sep-16,1075.55,1072.55,1088,1071,1083,1082.4,1080.96,3812324,4120984369,81518
RELIANCE,EQ,20-Sep-16,1082.4,1084,1084.75,1069.05,1073.55,1074.2,1076.13,2635854,2836524443,65326
RELIANCE,EQ,21-Sep-16,1074.2,1074,1084.9,1069,1070,1072.25,1075.51,2501476,2690360398,66182
RELIANCE,EQ,22-Sep-16,1072.25,1083,1095.8,1079,1086.95,1088.95,1090.17,4288544,4675251073,82688
RELIANCE,EQ,23-Sep-16,1088.95,1089,1109.45,1089,1101.6,1102.8,1100.28,7105725,7818310313,81712
RELIANCE,EQ,26-Sep-16,1102.8,1103.4,1129.55,1100.25,1106.3,1107.2,1118.64,8734943,9771217522,119368
RELIANCE,EQ,27-Sep-16,1107.2,1117,1125.95,1106.6,1110.9,1110.5,1115.34,4428693,4939498790,99600
RELIANCE,EQ,28-Sep-16,1110.5,1107.9,1108,1086.3,1089,1090.65,1092.6,5673488,6198865983,123527
RELIANCE,EQ,29-Sep-16,1090.65,1095,1110.75,1067.4,1074.55,1072.45,1085.03,4859746,5272989986,96086
RELIANCE,EQ,30-Sep-16,1072.45,1068,1094.55,1066.3,1084.5,1083.7,1082.8,2560105,2772082002,97669
RELIANCE,EQ,03-Oct-16,1083.7,1087,1107.95,1076.25,1090,1090.7,1093.31,4143109,4529687733,108886
RELIANCE,EQ,04-Oct-16,1090.7,1093.05,1108.3,1092,1095,1096.35,1100.57,2997544,3299004036,74385
RELIANCE,EQ,05-Oct-16,1096.35,1104,1106.5,1085.8,1090,1089.4,1095.21,2466397,2701225312,51226
RELIANCE,EQ,06-Oct-16,1089.4,1092,1126.25,1092,1112,1110.8,1114.15,4825630,5376475095,96062
RELIANCE,EQ,07-Oct-16,1110.8,1114,1123.05,1106.5,1106.95,1109,1114.12,3492838,3891447818,74933
RELIANCE,EQ,10-Oct-16,1109,1114,1122,1094,1096,1096.35,1105.74,2640973,2920222668,66148
RELIANCE,EQ,13-Oct-16,1096.35,1089,1089.05,1052,1058.5,1057.15,1067.72,5014667,5354276741,126457
RELIANCE,EQ,14-Oct-16,1057.15,1063,1082,1061.65,1078.95,1077.65,1073.32,3489473,3745322971,93233
RELIANCE,EQ,17-Oct-16,1077.65,1080,1080.8,1058.75,1060.4,1060.65,1068.55,2246237,2400217762,59134
RELIANCE,EQ,18-Oct-16,1060.65,1066,1082.75,1062.05,1079.55,1081.1,1076.71,2531133,2725292003,73109
RELIANCE,EQ,19-Oct-16,1081.1,1084.45,1094.7,1081.4,1087,1087.35,1088.72,3902656,4248885070,77327
RELIANCE,EQ,20-Oct-16,1087.35,1093.95,1098,1084.05,1086.1,1087.55,1089.93,2314521,2522655591,50757
RELIANCE,EQ,21-Oct-16,1087.55,1097,1097,1058.4,1065,1064.2,1069.05,9968242,10656537355,172822
RELIANCE,EQ,24-Oct-16,1064.2,1070,1074,1060.65,1063.3,1063.3,1067.37,2403099,2565001759,58047
RELIANCE,EQ,25-Oct-16,1063.3,1065,1065.25,1054.2,1063.5,1060.85,1059.75,1750711,1855315528,69996
RELIANCE,EQ,26-Oct-16,1060.85,1056.05,1059.45,1052.1,1054.5,1054.05,1054.67,2502055,2638835504,66935
RELIANCE,EQ,27-Oct-16,1054.05,1051.1,1053.9,1043.4,1050.5,1048.7,1048.69,2935574,3078514158,58825
RELIANCE,EQ,28-Oct-16,1048.7,1050,1058,1043.8,1056,1054.95,1052.58,1857917,1955599208,33745
RELIANCE,EQ,30-Oct-16,1054.95,1058.75,1058.75,1046.3,1049.55,1051.2,1052.55,362170,381202360.2,9214
RELIANCE,EQ,01-Nov-16,1051.2,1051.3,1055.95,1047.4,1052,1051,1051.07,2337011,2456355916,74188
RELIANCE,EQ,02-Nov-16,1051,1041,1042.85,1021,1026.4,1023.75,1029.71,1609225,1657027215,62676
RELIANCE,EQ,03-Nov-16,1023.75,1023.85,1034.75,1020.6,1021.9,1023.95,1027.98,1671371,1718133325,63170
RELIANCE,EQ,04-Nov-16,1023.95,1020.25,1026.9,1000,1006.55,1005.55,1010.83,2636911,2665480457,71344
RELIANCE,EQ,07-Nov-16,1005.55,1014,1016.55,999.05,1000,1001.15,1005,2172921,2183786373,72315
RELIANCE,EQ,08-Nov-16,1001.15,1005.7,1005.7,998.3,1003.9,1003.5,1001.7,3070346,3075564144,71607
RELIANCE,EQ,09-Nov-16,1003.5,950,1009,930,1003,1004.6,981.42,4946573,4854675034,83043
RELIANCE,EQ,10-Nov-16,1004.6,1018.6,1028.95,1007,1008.05,1010.4,1018.04,2231907,2272175380,67470
RELIANCE,EQ,11-Nov-16,1010.4,997.85,1017.5,995.1,998,1001.75,1003.74,3377392,3390025727,96461
RELIANCE,EQ,15-Nov-16,1001.75,996.5,1000,979.55,982.85,985.4,988.79,3311592,3274482016,95636
RELIANCE,EQ,16-Nov-16,985.4,995,996.8,980.7,982.05,986.55,990.58,3783226,3747602868,79760
RELIANCE,EQ,17-Nov-16,986.55,986,998.15,974.4,977.05,977.75,987.21,2886635,2849709344,78724
RELIANCE,EQ,18-Nov-16,977.75,985,992.7,982,986.4,987.5,987.8,4151928,4101257453,123195
RELIANCE,EQ,21-Nov-16,987.5,987.55,993.55,983.2,993,991.5,988.95,3024712,2991285792,89103
RELIANCE,EQ,22-Nov-16,991.5,997.7,1007.8,993.3,1001.3,1001.45,1000.64,4033660,4036245792,100268
